"","Stname","date","n","total_cases"
"1","Alabama","2000",68,6
"2","Alabama","2001",68,10
"3","Alabama","2002",68,11
"4","Alabama","2003",68,8
"5","Alabama","2004",68,6
"6","Alabama","2005",68,3
"7","Alabama","2006",68,11
"8","Alabama","2007",68,13
"9","Alabama","2008",68,9
"10","Alabama","2009",68,3
"11","Alabama","2010",68,2
"12","Alabama","2011",68,24
"13","Alabama","2012",68,25
"14","Alabama","2013",68,24
"15","Alabama","2014",68,64
"16","Alabama","2015",68,25
"17","Alabama","2016",68,38
"18","Alabama","2017",68,41
"19","Alabama","2018",68,36
"20","Alabama","2019",68,66
"21","Alaska","2000",30,2
"22","Alaska","2001",30,2
"23","Alaska","2002",30,3
"24","Alaska","2003",30,3
"25","Alaska","2004",30,3
"26","Alaska","2005",30,4
"27","Alaska","2006",30,3
"28","Alaska","2007",30,10
"29","Alaska","2008",30,6
"30","Alaska","2009",30,7
"31","Alaska","2010",30,7
"32","Alaska","2011",30,11
"33","Alaska","2012",30,10
"34","Alaska","2013",30,14
"35","Alaska","2014",30,8
"36","Alaska","2015",30,9
"37","Alaska","2016",30,15
"38","Alaska","2017",30,10
"39","Alaska","2018",30,11
"40","Alaska","2019",30,3
"41","Arizona","2000",16,2
"42","Arizona","2001",16,3
"43","Arizona","2002",16,4
"44","Arizona","2003",16,4
"45","Arizona","2004",16,13
"46","Arizona","2005",16,10
"47","Arizona","2006",16,10
"48","Arizona","2007",16,2
"49","Arizona","2008",16,8
"50","Arizona","2009",16,7
"51","Arizona","2010",16,2
"52","Arizona","2011",16,15
"53","Arizona","2012",16,13
"54","Arizona","2013",16,32
"55","Arizona","2014",16,21
"56","Arizona","2015",16,12
"57","Arizona","2016",16,13
"58","Arizona","2017",16,28
"59","Arizona","2018",16,7
"60","Arizona","2019",16,10
"61","Arkansas","2000",76,7
"62","Arkansas","2001",76,4
"63","Arkansas","2002",76,3
"64","Arkansas","2003",76,0
"65","Arkansas","2004",76,0
"66","Arkansas","2005",76,0
"67","Arkansas","2006",76,0
"68","Arkansas","2007",76,1
"69","Arkansas","2008",76,0
"70","Arkansas","2009",76,0
"71","Arkansas","2010",76,0
"72","Arkansas","2011",76,0
"73","Arkansas","2012",76,0
"74","Arkansas","2013",76,0
